Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Astra,controller,Competitive,All,Unrated,1.04,"['15.1', '14.5', '5.8']",48.6,0.8,211,0.1,12503
2,Killjoy,sentinel,Competitive,All,Unrated,0.94,"['13.4', '14.2', '4']",47.8,4.4,195,0.2,65401
3,Reyna,duelist,Competitive,All,Unrated,1.14,"['17.2', '15.1', '4.4']",47.7,13.7,246,0.1,204902
4,Jett,duelist,Competitive,All,Unrated,1.1,"['16.6', '15.1', '3.7']",47.5,10.3,241,0.1,155091
5,Raze,duelist,Competitive,All,Unrated,1.01,"['15.5', '15.3', '4.7']",46.9,7.1,231,0.1,106170
6,Brimstone,controller,Competitive,All,Unrated,0.94,"['13.4', '14.3', '6.8']",46.6,5.0,202,0.1,75197
7,Skye,initiator,Competitive,All,Unrated,0.89,"['13.3', '14.9', '6.8']",46.0,3.3,192,0.1,49482
8,Viper,controller,Competitive,All,Unrated,0.91,"['13.4', '14.6', '5.1']",45.8,3.2,194,0.1,47476
9,Sage,sentinel,Competitive,All,Unrated,0.85,"['12.2', '14.4', '6.4']",45.7,13.0,179,0.1,194428
10,Breach,initiator,Competitive,All,Unrated,0.91,"['13.8', '15.3', '6.1']",45.7,2.0,199,0.1,30288
11,Cypher,sentinel,Competitive,All,Unrated,0.94,"['13.6', '14.5', '4.7']",45.5,2.9,193,0.1,43858
12,Chamber,sentinel,Competitive,All,Unrated,1.01,"['14.9', '14.7', '3.2']",45.4,2.8,209,0.1,41673
13,Omen,controller,Competitive,All,Unrated,0.93,"['14', '15.1', '5.7']",45.0,5.9,200,0.1,88683
14,Sova,initiator,Competitive,All,Unrated,0.91,"['13', '14.2', '4.9']",45.0,6.0,194,0.1,90183
15,Fade,initiator,Competitive,All,Unrated,0.86,"['12.9', '15.1', '5.8']",44.6,4.0,187,0.1,60341
16,Phoenix,duelist,Competitive,All,Unrated,1.0,"['14.5', '14.5', '4.1']",43.9,5.5,218,0.1,83137
17,KAY/O,initiator,Competitive,All,Unrated,0.85,"['13.1', '15.4', '7.9']",43.3,3.5,193,0.1,52987
18,Neon,duelist,Competitive,All,Unrated,0.89,"['13.9', '15.7', '4']",42.4,3.0,205,0.1,45022
19,Harbor,controller,Competitive,All,Unrated,0.81,"['12.4', '15.3', '5.1']",41.0,0.7,180,0.1,10387
20,Yoru,duelist,Competitive,All,Unrated,0.86,"['13.2', '15.2', '4']",40.9,2.8,192,0.1,42286
1,Astra,controller,Competitive,Split,Unrated,1.06,"['15.4', '14.6', '6.1']",51.0,0.9,215,0.1,2228
2,Killjoy,sentinel,Competitive,Split,Unrated,0.97,"['13.8', '14.2', '4.1']",49.9,4.5,200,0.2,10637
3,Raze,duelist,Competitive,Split,Unrated,1.06,"['16.4', '15.4', '4.9']",48.8,9.0,243,0.1,21377
4,Reyna,duelist,Competitive,Split,Unrated,1.14,"['17.3', '15.1', '4.4']",48.1,13.2,247,0.1,31275
5,Skye,initiator,Competitive,Split,Unrated,0.92,"['13.8', '14.9', '7.1']",47.7,3.6,197,0.1,8472
6,Jett,duelist,Competitive,Split,Unrated,1.09,"['16.4', '15', '3.8']",47.6,9.5,240,0.1,22452
7,Brimstone,controller,Competitive,Split,Unrated,0.94,"['13.5', '14.3', '7']",47.5,4.9,203,0.1,11711
8,Sage,sentinel,Competitive,Split,Unrated,0.88,"['12.7', '14.4', '6.8']",47.4,14.0,186,0.1,33308
9,Omen,controller,Competitive,Split,Unrated,0.97,"['14.6', '15.1', '5.9']",46.4,6.8,207,0.1,16134
10,Cypher,sentinel,Competitive,Split,Unrated,0.97,"['14.1', '14.6', '4.9']",46.3,3.7,198,0.1,8669
11,Fade,initiator,Competitive,Split,Unrated,0.86,"['13', '15.1', '5.8']",45.0,3.7,188,0.1,8848
12,Chamber,sentinel,Competitive,Split,Unrated,1.01,"['15', '14.9', '3.3']",44.9,2.4,211,0.1,5676
13,Viper,controller,Competitive,Split,Unrated,0.89,"['13', '14.7', '4.9']",44.6,2.6,190,0.1,6268
14,Breach,initiator,Competitive,Split,Unrated,0.91,"['14', '15.4', '6.1']",44.4,1.8,200,0.1,4301
15,KAY/O,initiator,Competitive,Split,Unrated,0.86,"['13.1', '15.4', '7.8']",43.9,3.5,193,0.1,8295
16,Harbor,controller,Competitive,Split,Unrated,0.81,"['12.3', '15.2', '5']",43.5,0.6,179,0.1,1413
17,Phoenix,duelist,Competitive,Split,Unrated,0.99,"['14.4', '14.5', '4.2']",43.3,5.2,217,0.1,12270
18,Sova,initiator,Competitive,Split,Unrated,0.88,"['12.5', '14.2', '4.6']",42.5,4.8,189,0.1,11375
19,Yoru,duelist,Competitive,Split,Unrated,0.87,"['13.2', '15.2', '4']",41.7,2.7,193,0.1,6393
20,Neon,duelist,Competitive,Split,Unrated,0.86,"['13.6', '15.9', '4']",41.7,2.7,200,0.1,6339
1,Jett,duelist,Competitive,Ascent,Unrated,1.1,"['16.6', '15.1', '3.7']",48.3,10.7,241,0.1,21718
2,Reyna,duelist,Competitive,Ascent,Unrated,1.12,"['17', '15.1', '4.5']",48.2,13.5,244,0.1,27331
3,Killjoy,sentinel,Competitive,Ascent,Unrated,0.97,"['13.7', '14.1', '4.1']",47.8,5.7,197,0.2,11589
4,Raze,duelist,Competitive,Ascent,Unrated,1.0,"['15.3', '15.3', '5']",47.0,6.8,231,0.1,13796
5,Sova,initiator,Competitive,Ascent,Unrated,0.97,"['13.8', '14.2', '5.4']",47.0,7.9,204,0.1,16114
6,Brimstone,controller,Competitive,Ascent,Unrated,0.94,"['13.4', '14.3', '7.5']",46.8,5.4,203,0.1,10899
7,Astra,controller,Competitive,Ascent,Unrated,1.06,"['15.4', '14.6', '6.4']",45.7,0.9,215,0.1,1846
8,Sage,sentinel,Competitive,Ascent,Unrated,0.84,"['12.1', '14.4', '6.5']",45.6,12.0,178,0.1,24475
9,Cypher,sentinel,Competitive,Ascent,Unrated,0.93,"['13.4', '14.4', '4.8']",45.5,2.8,190,0.1,5693
10,Phoenix,duelist,Competitive,Ascent,Unrated,0.99,"['14.4', '14.5', '4.2']",45.4,5.6,218,0.1,11335
11,Omen,controller,Competitive,Ascent,Unrated,0.95,"['14.2', '15', '6.5']",45.2,6.7,203,0.1,13674
12,Skye,initiator,Competitive,Ascent,Unrated,0.88,"['13.1', '14.9', '7.1']",45.2,2.9,189,0.1,5855
13,Chamber,sentinel,Competitive,Ascent,Unrated,0.99,"['14.8', '15', '3.3']",44.9,2.5,208,0.1,5037
14,Breach,initiator,Competitive,Ascent,Unrated,0.88,"['13.4', '15.2', '5.9']",44.7,1.4,194,0.1,2743
15,Viper,controller,Competitive,Ascent,Unrated,0.87,"['12.7', '14.6', '5']",44.1,2.2,186,0.1,4505
16,KAY/O,initiator,Competitive,Ascent,Unrated,0.86,"['13.2', '15.4', '7.9']",43.6,3.4,193,0.1,6999
17,Fade,initiator,Competitive,Ascent,Unrated,0.85,"['12.9', '15.2', '5.9']",42.5,3.8,186,0.1,7631
18,Neon,duelist,Competitive,Ascent,Unrated,0.85,"['13.3', '15.7', '4']",41.1,2.6,198,0.1,5319
19,Yoru,duelist,Competitive,Ascent,Unrated,0.85,"['13', '15.3', '3.9']",40.9,2.6,190,0.1,5381
20,Harbor,controller,Competitive,Ascent,Unrated,0.78,"['12', '15.5', '5.2']",37.4,0.6,177,0.1,1195
1,Astra,controller,Competitive,Haven,Unrated,1.04,"['14.9', '14.4', '5.7']",48.5,0.8,209,0.1,1622
2,Brimstone,controller,Competitive,Haven,Unrated,0.95,"['13.5', '14.2', '7']",48.5,5.2,202,0.1,10586
3,Reyna,duelist,Competitive,Haven,Unrated,1.13,"['17.1', '15.1', '4.3']",48.1,13.6,245,0.1,27683
4,Killjoy,sentinel,Competitive,Haven,Unrated,0.94,"['13.3', '14.2', '3.9']",47.7,4.2,193,0.2,8488
5,Jett,duelist,Competitive,Haven,Unrated,1.1,"['16.6', '15.1', '3.7']",47.6,10.5,241,0.1,21492
6,Raze,duelist,Competitive,Haven,Unrated,0.99,"['15.3', '15.4', '4.6']",47.2,6.4,227,0.1,13061
7,Omen,controller,Competitive,Haven,Unrated,0.96,"['14.3', '14.9', '5.9']",46.6,7.2,204,0.1,14774
8,Skye,initiator,Competitive,Haven,Unrated,0.9,"['13.5', '14.9', '6.6']",46.4,3.4,194,0.1,6841
9,Cypher,sentinel,Competitive,Haven,Unrated,0.96,"['13.9', '14.5', '4.8']",46.2,3.1,196,0.1,6294
10,Chamber,sentinel,Competitive,Haven,Unrated,1.0,"['14.8', '14.8', '3.2']",46.1,2.8,208,0.1,5785
11,Sova,initiator,Competitive,Haven,Unrated,0.95,"['13.5', '14.2', '5']",45.9,7.0,200,0.1,14246
12,Sage,sentinel,Competitive,Haven,Unrated,0.85,"['12.2', '14.4', '6.3']",45.8,12.8,180,0.1,26000
13,Phoenix,duelist,Competitive,Haven,Unrated,1.03,"['15', '14.6', '4.1']",45.2,6.1,224,0.1,12360
14,Viper,controller,Competitive,Haven,Unrated,0.86,"['12.5', '14.6', '4.9']",44.8,2.1,185,0.1,4186
15,Breach,initiator,Competitive,Haven,Unrated,0.9,"['13.8', '15.4', '5.9']",44.7,1.8,199,0.1,3614
16,Fade,initiator,Competitive,Haven,Unrated,0.84,"['12.7', '15.1', '5.9']",44.7,3.8,185,0.1,7662
17,KAY/O,initiator,Competitive,Haven,Unrated,0.85,"['13.1', '15.4', '7.9']",43.8,3.1,193,0.1,6409
18,Harbor,controller,Competitive,Haven,Unrated,0.8,"['12.1', '15.1', '4.9']",41.7,0.6,178,0.1,1231
19,Yoru,duelist,Competitive,Haven,Unrated,0.86,"['13.3', '15.4', '3.9']",41.2,2.8,192,0.1,5623
20,Neon,duelist,Competitive,Haven,Unrated,0.86,"['13.5', '15.7', '3.9']",40.4,2.9,201,0.1,5921
1,Astra,controller,Competitive,Icebox,Unrated,1.0,"['14.6', '14.6', '4.7']",51.1,0.4,207,0.1,837
2,Jett,duelist,Competitive,Icebox,Unrated,1.13,"['17.1', '15.1', '3.8']",48.7,11.2,249,0.1,22826
3,Viper,controller,Competitive,Icebox,Unrated,0.99,"['14.3', '14.5', '5.2']",48.6,5.8,204,0.1,11789
4,Reyna,duelist,Competitive,Icebox,Unrated,1.15,"['17.5', '15.2', '4.2']",48.3,13.8,249,0.1,28105
5,Killjoy,sentinel,Competitive,Icebox,Unrated,0.92,"['13.1', '14.2', '3.9']",47.3,3.9,192,0.2,7956
6,Sova,initiator,Competitive,Icebox,Unrated,0.95,"['13.6', '14.3', '4.9']",47.0,8.5,199,0.1,17293
7,Raze,duelist,Competitive,Icebox,Unrated,1.0,"['15.4', '15.4', '4.4']",46.5,7.0,228,0.1,14159
8,Sage,sentinel,Competitive,Icebox,Unrated,0.85,"['12.3', '14.5', '6.2']",45.6,13.8,179,0.1,28096
9,Chamber,sentinel,Competitive,Icebox,Unrated,1.01,"['15', '14.8', '3.1']",44.6,2.9,210,0.1,5979
10,KAY/O,initiator,Competitive,Icebox,Unrated,0.86,"['13.2', '15.4', '8']",44.1,3.7,195,0.1,7433
11,Brimstone,controller,Competitive,Icebox,Unrated,0.89,"['12.7', '14.2', '5.8']",44.0,3.5,194,0.1,7060
12,Omen,controller,Competitive,Icebox,Unrated,0.91,"['13.7', '15.2', '5']",43.8,5.1,198,0.1,10333
13,Skye,initiator,Competitive,Icebox,Unrated,0.86,"['12.9', '15', '6.4']",43.7,2.7,188,0.1,5457
14,Fade,initiator,Competitive,Icebox,Unrated,0.83,"['12.6', '15.2', '5.7']",43.3,3.5,184,0.1,7130
15,Phoenix,duelist,Competitive,Icebox,Unrated,0.96,"['13.8', '14.4', '3.8']",43.1,4.8,210,0.1,9794
16,Breach,initiator,Competitive,Icebox,Unrated,0.86,"['13.3', '15.5', '5.4']",42.8,1.2,192,0.1,2355
17,Cypher,sentinel,Competitive,Icebox,Unrated,0.87,"['12.8', '14.7', '4.5']",42.7,1.9,184,0.1,3895
18,Neon,duelist,Competitive,Icebox,Unrated,0.89,"['14', '15.7', '3.8']",42.4,2.9,206,0.1,5922
19,Yoru,duelist,Competitive,Icebox,Unrated,0.86,"['13.1', '15.3', '3.9']",40.0,2.9,193,0.1,5840
20,Harbor,controller,Competitive,Icebox,Unrated,0.8,"['12.2', '15.3', '5.1']",38.6,0.6,179,0.1,1222
1,Killjoy,sentinel,Competitive,Fracture,Unrated,0.93,"['13.3', '14.3', '4.1']",48.1,4.5,195,0.2,9044
2,Astra,controller,Competitive,Fracture,Unrated,0.99,"['14.3', '14.4', '5.4']",48.0,0.6,202,0.1,1228
3,Reyna,duelist,Competitive,Fracture,Unrated,1.15,"['17.2', '14.9', '4.4']",47.7,13.5,247,0.1,27380
4,Breach,initiator,Competitive,Fracture,Unrated,0.94,"['14.3', '15.1', '6.4']",47.4,3.9,203,0.1,7970
5,Brimstone,controller,Competitive,Fracture,Unrated,0.98,"['13.9', '14.3', '7.1']",47.2,6.9,207,0.1,14038
6,Jett,duelist,Competitive,Fracture,Unrated,1.11,"['16.5', '14.9', '3.7']",46.7,10.3,240,0.1,20806
7,Viper,controller,Competitive,Fracture,Unrated,0.9,"['13.1', '14.6', '5.1']",46.1,3.4,191,0.1,6868
8,Skye,initiator,Competitive,Fracture,Unrated,0.88,"['13', '14.8', '6.7']",46.1,3.1,189,0.1,6312
9,Raze,duelist,Competitive,Fracture,Unrated,1.01,"['15.3', '15.2', '4.7']",45.9,6.8,228,0.1,13694
10,Chamber,sentinel,Competitive,Fracture,Unrated,1.01,"['14.8', '14.6', '3.2']",45.6,2.9,209,0.1,5929
11,Fade,initiator,Competitive,Fracture,Unrated,0.85,"['12.5', '14.8', '5.8']",45.5,4.1,184,0.1,8229
12,Cypher,sentinel,Competitive,Fracture,Unrated,0.94,"['13.5', '14.4', '4.7']",45.0,3.0,193,0.1,6074
13,Sage,sentinel,Competitive,Fracture,Unrated,0.83,"['11.8', '14.3', '6.2']",44.8,12.3,175,0.1,24858
14,Omen,controller,Competitive,Fracture,Unrated,0.88,"['13.1', '14.9', '5.3']",43.3,4.5,191,0.1,9133
15,Neon,duelist,Competitive,Fracture,Unrated,0.93,"['14.5', '15.6', '4.2']",42.7,3.7,213,0.1,7424
16,KAY/O,initiator,Competitive,Fracture,Unrated,0.86,"['13.1', '15.2', '7.9']",42.6,3.4,194,0.1,6957
17,Phoenix,duelist,Competitive,Fracture,Unrated,0.97,"['14', '14.4', '4']",42.0,5.2,212,0.1,10634
18,Sova,initiator,Competitive,Fracture,Unrated,0.84,"['11.8', '14.1', '4.6']",41.8,4.3,181,0.1,8796
19,Yoru,duelist,Competitive,Fracture,Unrated,0.86,"['12.9', '15', '4']",38.9,2.9,190,0.1,5802
20,Harbor,controller,Competitive,Fracture,Unrated,0.81,"['12.4', '15.3', '5.3']",38.2,0.7,180,0.1,1404
1,Astra,controller,Competitive,Pearl,Unrated,1.05,"['15', '14.2', '5.9']",49.5,1.3,211,0.1,2578
2,Reyna,duelist,Competitive,Pearl,Unrated,1.15,"['17.3', '15.1', '4.5']",47.7,13.7,248,0.1,28254
3,Killjoy,sentinel,Competitive,Pearl,Unrated,0.92,"['13', '14.1', '4']",47.1,3.8,191,0.2,7742
4,Fade,initiator,Competitive,Pearl,Unrated,0.89,"['13.4', '14.9', '6']",47.0,5.4,192,0.1,11025
5,Jett,duelist,Competitive,Pearl,Unrated,1.09,"['16.4', '15', '3.7']",46.8,10.1,239,0.1,20756
6,Cypher,sentinel,Competitive,Pearl,Unrated,0.94,"['13.6', '14.4', '4.8']",46.4,3.2,192,0.1,6509
7,Raze,duelist,Competitive,Pearl,Unrated,0.99,"['15', '15.2', '4.7']",46.2,6.3,224,0.1,12938
8,Chamber,sentinel,Competitive,Pearl,Unrated,1.02,"['14.8', '14.5', '3.3']",46.2,3.1,209,0.1,6377
9,Skye,initiator,Competitive,Pearl,Unrated,0.89,"['13.2', '14.9', '7']",45.7,3.4,192,0.1,7011
10,Brimstone,controller,Competitive,Pearl,Unrated,0.92,"['13', '14.2', '6.6']",45.6,4.6,197,0.1,9423
11,Sage,sentinel,Competitive,Pearl,Unrated,0.84,"['12', '14.4', '6.4']",45.6,13.0,177,0.1,26697
12,Sova,initiator,Competitive,Pearl,Unrated,0.88,"['12.4', '14.1', '4.9']",45.4,5.0,188,0.1,10274
13,Viper,controller,Competitive,Pearl,Unrated,0.94,"['13.7', '14.6', '5.4']",45.3,4.1,198,0.1,8449
14,Breach,initiator,Competitive,Pearl,Unrated,0.87,"['13.3', '15.3', '5.8']",44.5,1.5,192,0.1,3109
15,Phoenix,duelist,Competitive,Pearl,Unrated,1.02,"['14.9', '14.5', '4.3']",44.4,6.3,223,0.1,13034
16,Omen,controller,Competitive,Pearl,Unrated,0.89,"['13.4', '15.1', '5.4']",43.7,4.7,192,0.1,9771
17,Neon,duelist,Competitive,Pearl,Unrated,0.9,"['13.9', '15.4', '4']",43.4,3.2,207,0.1,6542
18,KAY/O,initiator,Competitive,Pearl,Unrated,0.85,"['13.1', '15.4', '7.8']",43.2,3.7,193,0.1,7579
19,Yoru,duelist,Competitive,Pearl,Unrated,0.89,"['13.5', '15.2', '4.1']",43.0,3.0,196,0.1,6183
20,Harbor,controller,Competitive,Pearl,Unrated,0.83,"['12.8', '15.4', '5.4']",42.2,0.8,182,0.1,1737
1,Breach,initiator,Competitive,Lotus,Unrated,0.91,"['13.8', '15.3', '6.2']",47.2,2.5,199,0.1,6196
2,Jett,duelist,Competitive,Lotus,Unrated,1.09,"['16.3', '15.1', '3.7']",47.0,10.3,238,0.1,25041
3,Astra,controller,Competitive,Lotus,Unrated,1.05,"['15.2', '14.5', '5.4']",46.7,0.9,211,0.1,2164
4,Killjoy,sentinel,Competitive,Lotus,Unrated,0.93,"['13.3', '14.4', '3.8']",46.5,4.1,193,0.2,9945
5,Reyna,duelist,Competitive,Lotus,Unrated,1.13,"['17.1', '15.1', '4.3']",46.4,14.4,244,0.1,34874
6,Skye,initiator,Competitive,Lotus,Unrated,0.88,"['13.3', '15', '6.8']",46.0,3.9,191,0.1,9534
7,Raze,duelist,Competitive,Lotus,Unrated,1.01,"['15.4', '15.3', '4.8']",45.9,7.1,230,0.1,17145
8,Chamber,sentinel,Competitive,Lotus,Unrated,1.02,"['15.1', '14.8', '3.2']",45.7,2.8,210,0.1,6890
9,Brimstone,controller,Competitive,Lotus,Unrated,0.93,"['13.3', '14.3', '6.4']",45.7,4.7,200,0.1,11480
10,Cypher,sentinel,Competitive,Lotus,Unrated,0.92,"['13.5', '14.6', '4.6']",45.2,2.8,191,0.1,6724
11,Sage,sentinel,Competitive,Lotus,Unrated,0.83,"['12.1', '14.5', '6.2']",45.0,12.8,177,0.1,30994
12,Omen,controller,Competitive,Lotus,Unrated,0.92,"['13.9', '15.2', '5.4']",44.4,6.1,197,0.1,14864
13,Neon,duelist,Competitive,Lotus,Unrated,0.9,"['14', '15.6', '4']",44.3,3.1,207,0.1,7555
14,Phoenix,duelist,Competitive,Lotus,Unrated,1.0,"['14.5', '14.6', '4.1']",43.9,5.6,218,0.1,13710
15,Viper,controller,Competitive,Lotus,Unrated,0.86,"['12.7', '14.8', '4.8']",43.6,2.2,186,0.1,5411
16,Fade,initiator,Competitive,Lotus,Unrated,0.85,"['12.8', '15.1', '5.7']",43.1,4.0,185,0.1,9816
17,Harbor,controller,Competitive,Lotus,Unrated,0.84,"['12.8', '15.2', '5.1']",43.1,0.9,185,0.1,2185
18,Sova,initiator,Competitive,Lotus,Unrated,0.86,"['12.4', '14.4', '4.7']",42.6,5.0,187,0.1,12085
19,KAY/O,initiator,Competitive,Lotus,Unrated,0.85,"['13.1', '15.4', '8']",41.9,3.8,192,0.1,9315
20,Yoru,duelist,Competitive,Lotus,Unrated,0.86,"['13.2', '15.4', '4']",40.3,2.9,191,0.1,7064
1,Killjoy,sentinel,Competitive,All,Iron 1,0.83,"['11.2', '13.6', '4.1']",52.0,4.6,171,0.2,5530
2,Cypher,sentinel,Competitive,All,Iron 1,0.83,"['11.4', '13.8', '4.7']",50.4,2.6,165,0.2,3132
3,Omen,controller,Competitive,All,Iron 1,0.8,"['11.7', '14.7', '4.4']",49.9,5.7,172,0.1,6909
4,Sage,sentinel,Competitive,All,Iron 1,0.72,"['10.2', '14.2', '5.8']",49.8,14.4,152,0.1,17520
5,Reyna,duelist,Competitive,All,Iron 1,0.94,"['13.7', '14.5', '4.3']",49.7,11.2,202,0.1,13556
6,Skye,initiator,Competitive,All,Iron 1,0.74,"['10.6', '14.2', '6.4']",49.5,3.0,160,0.1,3657
7,Raze,duelist,Competitive,All,Iron 1,0.87,"['12.7', '14.7', '4.7']",49.0,8.1,196,0.1,9772
8,Sova,initiator,Competitive,All,Iron 1,0.78,"['11.1', '14.4', '4.6']",49.0,4.9,166,0.1,5946
9,Fade,initiator,Competitive,All,Iron 1,0.71,"['10.5', '14.7', '5.7']",49.0,6.0,158,0.1,7250
10,Phoenix,duelist,Competitive,All,Iron 1,0.88,"['12.7', '14.4', '4.1']",48.8,5.5,187,0.1,6735
11,Viper,controller,Competitive,All,Iron 1,0.76,"['10.8', '14.3', '4.6']",48.7,4.5,163,0.2,5489
12,Yoru,duelist,Competitive,All,Iron 1,0.82,"['11.9', '14.6', '3.9']",48.6,5.9,174,0.1,7159
13,Chamber,sentinel,Competitive,All,Iron 1,0.85,"['12.3', '14.3', '3.4']",48.2,2.3,179,0.1,2769
14,Jett,duelist,Competitive,All,Iron 1,0.88,"['12.9', '14.7', '3.7']",48.2,6.9,190,0.1,8315
15,Brimstone,controller,Competitive,All,Iron 1,0.82,"['11.7', '14.2', '5.4']",48.1,3.4,175,0.1,4110
16,Neon,duelist,Competitive,All,Iron 1,0.8,"['11.9', '15', '3.8']",47.3,5.0,178,0.1,6010
17,Astra,controller,Competitive,All,Iron 1,0.86,"['11.3', '13.2', '4']",47.0,0.7,169,0.2,875
18,KAY/O,initiator,Competitive,All,Iron 1,0.73,"['10.7', '14.7', '7.2']",46.7,2.9,163,0.1,3505
19,Breach,initiator,Competitive,All,Iron 1,0.79,"['11.3', '14.3', '4.8']",46.6,1.4,171,0.1,1692
20,Harbor,controller,Competitive,All,Iron 1,0.75,"['10.9', '14.6', '4.7']",46.1,1.2,165,0.1,1427
1,Cypher,sentinel,Competitive,Split,Iron 1,0.88,"['12.2', '13.9', '4.8']",52.6,2.7,171,0.2,475
2,Yoru,duelist,Competitive,Split,Iron 1,0.85,"['12.2', '14.4', '3.8']",51.5,5.8,177,0.1,1008
3,Killjoy,sentinel,Competitive,Split,Iron 1,0.83,"['11.3', '13.7', '4.1']",50.9,4.6,172,0.2,788
4,Brimstone,controller,Competitive,Split,Iron 1,0.83,"['11.7', '14', '5.1']",49.8,3.7,174,0.2,647
5,Reyna,duelist,Competitive,Split,Iron 1,0.92,"['13.5', '14.6', '4.3']",49.7,11.1,199,0.1,1912
6,Fade,initiator,Competitive,Split,Iron 1,0.7,"['10.3', '14.7', '5.5']",49.5,5.9,155,0.1,1025
7,Omen,controller,Competitive,Split,Iron 1,0.83,"['12.3', '14.8', '4.5']",49.1,6.1,178,0.1,1057
8,Raze,duelist,Competitive,Split,Iron 1,0.87,"['13', '14.9', '4.8']",48.5,8.2,198,0.1,1424
9,Astra,controller,Competitive,Split,Iron 1,0.92,"['12.5', '13.5', '4.3']",47.7,0.8,181,0.2,132
10,Skye,initiator,Competitive,Split,Iron 1,0.74,"['10.4', '14.2', '6.5']",47.6,3.1,157,0.1,544
11,Sage,sentinel,Competitive,Split,Iron 1,0.71,"['10.3', '14.4', '6']",47.5,14.3,152,0.1,2474
12,Breach,initiator,Competitive,Split,Iron 1,0.74,"['11', '14.9', '4.9']",47.5,1.4,166,0.1,236
13,Jett,duelist,Competitive,Split,Iron 1,0.89,"['13.3', '14.9', '3.7']",47.3,6.7,193,0.1,1166
14,Phoenix,duelist,Competitive,Split,Iron 1,0.84,"['12.4', '14.9', '4.2']",47.2,5.5,182,0.1,948
15,Viper,controller,Competitive,Split,Iron 1,0.75,"['10.9', '14.5', '4.4']",46.4,4.4,162,0.2,769
16,Harbor,controller,Competitive,Split,Iron 1,0.71,"['9.7', '13.7', '4.1']",45.3,1.0,153,0.1,181
17,Chamber,sentinel,Competitive,Split,Iron 1,0.83,"['12.1', '14.5', '3.2']",45.2,2.0,174,0.1,352
18,Neon,duelist,Competitive,Split,Iron 1,0.77,"['11.7', '15.3', '3.5']",44.5,4.7,171,0.1,816
19,Sova,initiator,Competitive,Split,Iron 1,0.76,"['11.1', '14.7', '4.3']",44.1,4.7,167,0.1,805
20,KAY/O,initiator,Competitive,Split,Iron 1,0.71,"['10.6', '14.9', '6.9']",40.0,3.1,161,0.1,530
1,Skye,initiator,Competitive,Ascent,Iron 1,0.74,"['10.6', '14.4', '6.7']",53.9,2.7,159,0.2,473
2,Raze,duelist,Competitive,Ascent,Iron 1,0.91,"['13.4', '14.8', '5.3']",53.6,8.4,204,0.1,1447
3,Harbor,controller,Competitive,Ascent,Iron 1,0.74,"['10.9', '14.8', '4.9']",52.9,1.2,162,0.1,206
4,Cypher,sentinel,Competitive,Ascent,Iron 1,0.82,"['11.1', '13.5', '4.8']",52.4,2.7,161,0.2,475
5,Killjoy,sentinel,Competitive,Ascent,Iron 1,0.86,"['11.3', '13.1', '4.3']",51.3,5.1,172,0.2,883
6,KAY/O,initiator,Competitive,Ascent,Iron 1,0.72,"['10.5', '14.6', '7.2']",51.2,2.8,160,0.1,484
7,Phoenix,duelist,Competitive,Ascent,Iron 1,0.86,"['12.4', '14.5', '4.3']",50.4,5.6,184,0.1,965
8,Sage,sentinel,Competitive,Ascent,Iron 1,0.71,"['10.2', '14.3', '6.1']",50.2,14.3,150,0.1,2482
9,Neon,duelist,Competitive,Ascent,Iron 1,0.81,"['11.9', '14.7', '3.7']",49.9,4.3,177,0.1,742
10,Fade,initiator,Competitive,Ascent,Iron 1,0.73,"['10.7', '14.6', '5.8']",49.9,5.8,160,0.1,1011
11,Omen,controller,Competitive,Ascent,Iron 1,0.78,"['11.5', '14.7', '4.7']",49.5,5.9,170,0.1,1022
12,Sova,initiator,Competitive,Ascent,Iron 1,0.79,"['11.1', '14', '4.8']",48.8,5.2,168,0.1,900
13,Breach,initiator,Competitive,Ascent,Iron 1,0.78,"['10.9', '14.1', '4.9']",47.9,1.4,167,0.1,234
14,Reyna,duelist,Competitive,Ascent,Iron 1,0.92,"['13.4', '14.6', '4.4']",47.6,11.6,199,0.1,2003
15,Chamber,sentinel,Competitive,Ascent,Iron 1,0.89,"['12.9', '14.4', '3.6']",46.6,2.3,186,0.1,406
16,Yoru,duelist,Competitive,Ascent,Iron 1,0.83,"['12.2', '14.7', '3.9']",46.3,5.7,177,0.1,981
17,Viper,controller,Competitive,Ascent,Iron 1,0.75,"['11', '14.6', '4.8']",45.8,4.3,163,0.2,736
18,Jett,duelist,Competitive,Ascent,Iron 1,0.86,"['12.8', '14.8', '3.6']",45.0,6.8,188,0.1,1176
19,Astra,controller,Competitive,Ascent,Iron 1,0.83,"['11.6', '13.9', '4']",44.0,0.7,163,0.2,116
20,Brimstone,controller,Competitive,Ascent,Iron 1,0.83,"['11.8', '14.1', '5.8']",42.7,3.3,176,0.2,571
1,Omen,controller,Competitive,Haven,Iron 1,0.82,"['12', '14.6', '4.4']",53.8,5.7,173,0.1,991
2,Killjoy,sentinel,Competitive,Haven,Iron 1,0.8,"['11', '13.7', '4']",53.1,4.4,166,0.2,759
3,Skye,initiator,Competitive,Haven,Iron 1,0.75,"['10.8', '14.4', '6.3']",51.2,3.0,161,0.1,514
4,Yoru,duelist,Competitive,Haven,Iron 1,0.82,"['11.9', '14.5', '4']",50.8,5.9,175,0.1,1027
